date,forecast_date,actual_anomaly_C,actual_forecast_anomaly_C,predicted_anomaly_C,predicted_temperature_C,extreme_heat_risk
2023-09-02,2023-09-03,1.9278330161538442,0.9469972469230754,1.4344687480260836,32.261112039564544,False
2023-09-03,2023-09-04,0.9469972469230754,0.30591174692307277,0.6151602682087219,31.441803559747186,False
2023-09-04,2023-09-05,0.30591174692307277,1.0223849392307685,0.1396227656794995,30.966266057217965,False
2023-09-05,2023-09-06,1.0223849392307685,0.3853107853846147,1.01696271531645,31.843606006854912,False
2023-09-06,2023-09-07,0.3853107853846147,-2.6009755992307717,0.20769482129810923,31.034338112836572,False
2023-09-07,2023-09-08,-2.6009755992307717,-2.8968882915384633,-2.7902524696353805,28.036390821903083,False
2023-09-08,2023-09-09,-2.8968882915384633,-2.354029022307696,-2.5053308995125163,28.32131239202595,False
2023-09-09,2023-09-10,-2.354029022307696,-1.424070753076922,-1.8783794509110725,28.94826384062739,False
2023-09-10,2023-09-11,-1.424070753076922,-0.03546986846153999,-1.0133721873412895,29.813271104197174,False
2023-09-11,2023-09-12,-0.03546986846153999,0.022238631538460396,0.2544789774643634,31.081122269002826,False
2023-09-12,2023-09-13,0.022238631538460396,-0.5997079838461552,0.03839874932750136,30.865042040865966,False
2023-09-13,2023-09-14,-0.5997079838461552,-0.9204435607692325,-0.6238824589211919,30.202760832617273,False
2023-09-14,2023-09-15,-0.9204435607692325,-2.03201459923077,-0.8356661085889103,29.990977182949553,False
2023-09-15,2023-09-16,-2.03201459923077,-2.1273536761538487,-1.9349330827944233,28.89171020874404,False
2023-09-16,2023-09-17,-2.1273536761538487,-0.3804274453846155,-1.8133842791807697,29.013259012357693,False
2023-09-17,2023-09-18,-0.3804274453846155,0.8040448623076877,0.033543694399815076,30.860186985938277,False
2023-09-18,2023-09-19,0.8040448623076877,1.081576246923074,0.9251438494231383,31.751787140961603,False
2023-09-19,2023-09-20,1.081576246923074,1.222401131538458,0.9797228219374128,31.806366113475875,False
2023-09-20,2023-09-21,1.222401131538458,0.02686466999999837,1.0718235293542138,31.898466820892676,False
2023-09-21,2023-09-22,0.02686466999999837,-1.318445060769232,-0.2071980093402686,30.619445282198196,False
2023-09-22,2023-09-23,-1.318445060769232,-1.1179412530769248,-1.37687462359792,29.449768667940543,False
2023-09-23,2023-09-24,-1.1179412530769248,-0.719530906923076,-0.8992256520574969,29.927417639480968,False
2023-09-24,2023-09-25,-0.719530906923076,-0.4012893684615406,-0.5222571165950848,30.304386174943378,False
2023-09-25,2023-09-26,-0.4012893684615406,0.26710263153846014,-0.2685779519323637,30.5580653396061,False
2023-09-26,2023-09-27,0.26710263153846014,0.308486746923073,0.36745248838326844,31.19409577992173,False
2023-09-27,2023-09-28,0.308486746923073,1.2676840546153834,0.27768163066558643,31.10432492220405,False
2023-09-28,2023-09-29,1.2676840546153834,1.0534715161538415,1.273125801729261,32.099769093267724,False
2023-09-29,2023-09-30,1.0534715161538415,0.26491870846153986,0.8580058262825947,31.68464911782106,False
2023-09-30,2023-10-01,0.26491870846153986,-1.536761175930522,0.07552990182791287,32.56159900083536,False
2023-10-01,2023-10-02,-1.536761175930522,-0.9566982528535988,-1.6527116036057599,30.833357495401685,False
2023-10-02,2023-10-03,-0.9566982528535988,0.05280555483870586,-0.6870385071507594,31.799030591856685,False
2023-10-03,2023-10-04,0.05280555483870586,0.49767151637717433,0.25379640378489216,32.739865502792334,False
2023-10-04,2023-10-05,0.49767151637717433,0.6477225933002444,0.5183062712418282,33.00437537024927,False
2023-10-05,2023-10-06,0.6477225933002444,0.7343102471464036,0.5867453896066314,33.07281448861408,False
2023-10-06,2023-10-07,0.7343102471464036,1.1424550548387131,0.6474742621707696,33.13354336117821,False
2023-10-07,2023-10-08,1.1424550548387131,1.6134004779156328,1.0573090047242664,33.54337810373171,False
2023-10-08,2023-10-09,1.6134004779156328,1.8526649779156301,1.468836160850682,33.95490525985813,False
2023-10-09,2023-10-10,1.8526649779156301,1.636047131761785,1.6254339792187529,34.1115030782262,False
2023-10-10,2023-10-11,1.636047131761785,1.5952133625310196,1.3511330333531824,33.83720213236063,False
2023-10-11,2023-10-12,1.5952133625310196,1.7356880163771677,1.3515332405184715,33.837602339525915,False
2023-10-12,2023-10-13,1.7356880163771677,2.002850400992557,1.506652768907011,33.992721867914454,False
2023-10-13,2023-10-14,2.002850400992557,2.0670505933002516,1.7582378154339897,34.24430691444143,False
2023-10-14,2023-10-15,2.0670505933002516,1.7322126702233263,1.7722245087325812,34.25829360774003,False
2023-10-15,2023-10-16,1.7322126702233263,1.7441881317617813,1.4090752372989495,33.895144336306394,False
2023-10-16,2023-10-17,1.7441881317617813,1.2126729779156307,1.4882710655391922,33.97434016454664,False
2023-10-17,2023-10-18,1.2126729779156307,1.382994170223327,0.9297206832003929,33.41578978220784,False
2023-10-18,2023-10-19,1.382994170223327,1.3331634779156332,1.2137637955908145,33.69983289459826,False
2023-10-19,2023-10-20,1.3331634779156332,1.1639067471463989,1.127711719074464,33.613780818081906,False
2023-10-20,2023-10-21,1.1639067471463989,1.0166359009925543,0.9605261901790952,33.44659528918654,False
